report,session,session_count,model,total_cost,avg_cost_per_spec,api_time,tokens_in,tokens_out,cache_read,cache_write,notes
2026-06-21,2026-06-21 overlord session,13,opus 4.8,126.97,9.77,02:10:31,44000,481500,182300000,2400000,member_set=2026-06-21/transient-agent-error-retry|2026-06-21/validate-blocker-base-ref (2.1)|2026-06-21/snapshot-gate (deferred plan)|2026-06-21/snapshot-gate (2.2)|2026-06-21/patch-rules-mid-edit (2.3)|2026-06-21/plan-pr-auto-ready (blocked no-op)|2026-06-21/flaky-serial-retry (3)|2026-06-21/completion-gate-unsafe (4)|2026-06-21/intent-no-commit (8)|2026-06-21/run-cli-papercuts (6)|2026-06-21/operator-runbook (9)|2026-06-21/plan-git-false (11)|2026-06-21/test-audit (10); session_base=325bb75
2026-06-22,2026-06-22 overlord session (batch + overlord combined),11,opus 4.8,97.88,8.90,02:27:08,67700,586500,138200000,1400000,combined 6/22 sessions; operator cost covers both; member_set=2026-06-22/test-suite-audit|2026-06-22/harness-transient|2026-06-22/deflake|2026-06-22/codex-path-cache|2026-06-22/correct-agent-default-models|2026-06-22/agent-transient-retry-backoff|2026-06-22/flaky-serial-retry-mid-work|2026-06-22/intent-split-emit-contract|2026-06-22/intent-pr-auto-ready|2026-06-22/harness-suggestion-intake|2026-06-22/finalize-complete-but-dirty (#390); session_base=ad9752e
2026-06-23-wrapup,2026-06-23 wrap-up overlord session,6,opus 4.8,51.71,8.62,01:01:29,34700,222100,73800000,908500,member_set=2026-06-23-wrapup/ready-gate-no-nonnull-autofix (gate bug)|2026-06-23-wrapup/escalate-actuator-on-no-progress|2026-06-23-wrapup/intake-url-on-operator-read-surfaces (doc surfaces)|2026-06-23-wrapup/intake-nudge-on-cli-run-completion (CLI nudge)|2026-06-23-wrapup/custom-ready-gate-command|2026-06-23-wrapup/prompt-mode-end-of-run-summary; session_base=13ad76b
